episode,timestep,reward
1093,109400,160.0
1095,109600,290.0
1097,109800,234.0
1099,110000,229.0
1101,110200,218.5
1103,110400,248.5
1105,110600,246.0
1107,110800,167.0
1109,111000,251.0
1111,111200,286.5
1113,111400,276.5
1115,111600,167.0
1117,111800,215.0
1119,112000,172.0
1121,112200,244.5
1123,112400,240.5
1125,112600,237.0
1127,112800,266.0
1129,113000,139.5
1131,113200,185.5
1133,113400,268.0
1135,113600,287.0
1137,113800,283.0
1139,114000,227.5
1141,114200,258.0
1143,114400,238.0
1145,114600,222.5
1147,114800,216.0
1149,115000,329.5
1151,115200,265.0
1153,115400,254.5
1155,115600,193.5
1157,115800,204.5
1159,116000,283.5
1161,116200,234.5
1163,116400,355.0
1165,116600,255.0
1167,116800,240.5
1169,117000,258.5
1171,117200,229.0
1173,117400,245.5
1175,117600,254.0
1177,117800,277.0
1179,118000,206.0
1181,118200,197.0
1183,118400,261.5
1185,118600,213.0
1187,118800,217.5
1189,119000,155.0
1191,119200,197.0
1193,119400,206.5
1195,119600,290.0
1197,119800,237.5
1199,120000,260.5
1201,120200,243.5
1203,120400,276.5
1205,120600,197.0
1207,120800,172.5
1209,121000,160.0
1211,121200,216.5
1213,121400,278.5
1215,121600,263.5
1217,121800,192.5
1219,122000,278.5
1221,122200,255.5
1223,122400,192.5
1225,122600,202.0
1227,122800,235.5
1229,123000,294.0
1231,123200,218.0
1233,123400,184.0
1235,123600,160.0
1237,123800,225.0
1239,124000,250.5
1241,124200,261.0
1243,124400,203.0
1245,124600,223.5
1247,124800,270.5
1249,125000,280.5
1251,125200,322.0
1253,125400,211.5
1255,125600,223.5
1257,125800,205.5
1259,126000,222.0
1261,126200,221.0
1263,126400,220.5
1265,126600,293.0
1267,126800,175.5
1269,127000,176.0
1271,127200,232.5
1273,127400,234.5
1275,127600,233.0
1277,127800,187.5
1279,128000,221.5
1281,128200,239.5
1283,128400,166.0
1285,128600,196.5
1287,128800,281.0
1289,129000,226.0
1291,129200,218.5
1293,129400,299.5
1295,129600,206.0
1297,129800,167.5
1299,130000,274.5
1301,130200,256.0
1303,130400,263.5
1305,130600,236.5
1307,130800,233.0
1309,131000,276.0
1311,131200,237.5
1313,131400,334.0
1315,131600,217.5
1317,131800,285.5
1319,132000,258.5
1321,132200,247.0
1323,132400,200.5
1325,132600,267.5
1327,132800,244.5
1329,133000,318.0
1331,133200,256.5
1333,133400,209.0
1335,133600,217.5
1337,133800,292.0
1339,134000,270.0
1341,134200,207.5
1343,134400,250.0
1345,134600,307.5
1347,134800,294.5
1349,135000,261.0
1351,135200,192.5
1353,135400,219.5
1355,135600,233.5
1357,135800,170.0
1359,136000,248.0
1361,136200,250.5
1363,136400,251.0
1365,136600,291.5
1367,136800,184.0
1369,137000,256.5
1371,137200,202.0
1373,137400,256.5
1375,137600,286.5
1377,137800,231.0
1379,138000,285.0
1381,138200,259.5
1383,138400,203.0
1385,138600,236.5
1387,138800,243.0
1389,139000,222.0
1391,139200,185.0
1393,139400,274.0
1395,139600,226.0
1397,139800,215.5
1399,140000,280.0
1401,140200,242.5
1403,140400,250.0
1405,140600,326.5
1407,140800,210.0
1409,141000,248.0
1411,141200,348.0
1413,141400,273.5
1415,141600,201.0
1417,141800,202.5
1419,142000,253.0
1421,142200,319.0
1423,142400,272.0
1425,142600,173.0
1427,142800,213.5
1429,143000,251.5
1431,143200,220.0
1433,143400,238.0
1435,143600,219.5
1437,143800,209.5
1439,144000,197.5
1441,144200,268.0
1443,144400,234.5
1445,144600,278.5
1447,144800,313.5
1449,145000,280.0
1451,145200,241.0
1453,145400,274.0
1455,145600,191.0
1457,145800,287.5
1459,146000,257.5
1461,146200,205.0
1463,146400,255.5
1465,146600,208.5
1467,146800,252.5
1469,147000,350.5
